06-53-00.926,53.51,0
06-53-01.052,53.92,0
06-53-01.176,55.90,0
06-53-01.301,56.65,0
06-53-01.428,56.20,0
06-53-01.555,57.02,0
06-53-01.676,55.85,0
06-53-01.803,55.46,0
06-53-01.927,54.93,0
06-53-02.055,53.14,0
06-53-02.171,53.44,0
06-53-02.303,53.47,0
06-53-02.429,53.39,0
06-53-02.553,52.83,0
06-53-02.678,51.45,0
06-53-02.803,51.01,0
06-53-02.929,50.95,0
06-53-03.054,49.98,0
06-53-03.176,49.91,0
06-53-03.304,50.01,0
06-53-03.429,50.81,0
06-53-03.553,52.76,0
06-53-03.677,53.16,0
06-53-03.803,53.95,0
06-53-03.928,54.30,0
06-53-04.053,54.87,0
06-53-04.176,55.19,0
06-53-04.304,55.24,0
06-53-04.427,55.66,0
06-53-04.553,54.82,0
06-53-04.678,55.39,0
06-53-04.803,54.58,0
06-53-04.929,53.25,0
06-53-05.053,53.14,0
06-53-05.176,54.71,0
06-53-05.304,55.55,0
06-53-05.428,55.81,0
06-53-05.553,57.30,0
06-53-05.678,57.79,0
06-53-05.804,58.65,0
06-53-05.927,58.41,0
06-53-06.053,57.62,0
06-53-06.175,56.40,0
06-53-06.303,55.51,0
06-53-06.426,54.37,0
06-53-06.554,53.67,0
06-53-06.677,53.06,0
06-53-06.803,52.42,0
06-53-06.928,51.30,0
06-53-07.055,50.08,0
06-53-07.168,54.48,0
06-53-07.302,55.88,0
06-53-07.427,56.16,0
06-53-07.554,56.56,0
06-53-07.677,57.15,0
06-53-07.802,57.74,0
06-53-07.926,58.56,0
06-53-08.053,58.32,0
06-53-08.175,57.18,0
06-53-08.304,57.36,0
06-53-08.426,57.19,0
06-53-08.553,56.66,0
06-53-08.677,55.00,0
06-53-08.803,52.35,0
06-53-08.928,51.74,0
06-53-09.054,53.51,0
06-53-09.172,54.04,0
06-53-09.303,55.14,0
06-53-09.426,55.08,0
06-53-09.553,55.31,0
06-53-09.677,55.67,0
06-53-09.802,53.99,0
06-53-09.927,53.67,0
06-53-10.051,52.25,0
06-53-10.168,51.94,0
06-53-10.304,51.75,0
06-53-10.427,51.66,0
06-53-10.552,51.12,0
06-53-10.677,53.65,0
06-53-10.803,54.34,0
06-53-10.927,54.23,0
06-53-11.051,54.35,0
06-53-11.170,54.15,0
06-53-11.303,55.12,0
06-53-11.427,55.63,0
06-53-11.551,54.61,0
06-53-11.677,54.07,0
06-53-11.802,52.92,0
06-53-11.929,52.05,0
06-53-12.051,51.46,0
06-53-12.168,50.38,0
06-53-12.304,49.95,0
06-53-12.428,50.08,0
06-53-12.552,50.26,0
06-53-12.679,50.42,0
06-53-12.803,53.43,0
06-53-12.928,53.65,0
06-53-13.052,55.42,0
06-53-13.176,55.49,0
06-53-13.304,53.88,0
06-53-13.425,55.63,0
06-53-13.553,56.27,0
06-53-13.676,56.54,0
06-53-13.802,56.95,0
06-53-13.926,55.70,0
06-53-14.051,54.20,0
06-53-14.172,53.87,0
06-53-14.298,53.29,0
06-53-14.428,51.83,0
06-53-14.554,50.57,0
06-53-14.677,50.21,0
06-53-14.802,51.56,0
06-53-14.926,52.22,0
06-53-15.050,52.80,0
06-53-15.167,53.30,0
06-53-15.303,52.64,0
06-53-15.429,51.92,0
06-53-15.552,51.51,0
06-53-15.678,51.02,0
06-53-15.802,51.48,0
06-53-15.929,52.58,0
06-53-16.054,53.32,0
